unit,asof,mode,status
t2-F4-hml-covid-2020,2020-02-14,blind,pass
t2-F4-hml-covid-2020,2020-02-14,text,pass
t2-F4-jpy-carry-2007,2007-07-20,blind,pass
t2-F4-jpy-carry-2007,2007-07-20,text,pass
t2-F4-jpy-crowding-2024,2024-07-31,blind,pass
t2-F4-jpy-crowding-2024,2024-07-31,text,pass
t2-F4-mkt-selloff-2011,2011-07-22,blind,pass
t2-F4-mkt-selloff-2011,2011-07-22,text,pass
t2-F4-momentum-reversal-2009,2009-03-06,blind,pass
t2-F4-momentum-reversal-2009,2009-03-06,text,pass
t2-F4-nok-covid-2020,2020-02-28,blind,pass
t2-F4-nok-covid-2020,2020-02-28,text,pass
t2-F4-powell-december-2018,2018-11-30,blind,pass
t2-F4-powell-december-2018,2018-11-30,text,pass
t2-F4-qe1-expansion-2009,2009-01-30,blind,pass
t2-F4-qe1-expansion-2009,2009-01-30,text,pass
t2-F4-quant-crowding-2007,2007-07-31,blind,pass
t2-F4-quant-crowding-2007,2007-07-31,text,pass
t2-F4-short-vol-2018,2018-01-26,blind,pass
t2-F4-short-vol-2018,2018-01-26,text,pass
t2-F4-svb-whiplash-2023,2023-03-08,blind,pass
t2-F4-svb-whiplash-2023,2023-03-08,text,pass
t2-F4-taper-warning-2013,2013-04-30,blind,pass
t2-F4-taper-warning-2013,2013-04-30,text,pass
t2-F4-ust-downgrade-watch-2011,2011-07-22,blind,pass
t2-F4-ust-downgrade-watch-2011,2011-07-22,text,pass
t2-F4-ust10y-supply-2023,2023-09-29,blind,pass
t2-F4-ust10y-supply-2023,2023-09-29,text,pass
t2-F4-vaccine-timeline-2020,2020-10-30,blind,pass
t2-F4-vaccine-timeline-2020,2020-10-30,text,pass
